root;node;depth;parent;node_line;edge_caller;edge_callee;edge_call_line;edge_caller_line;edge_callee_line;edge_raw_callee
_detect_regions;_detect_regions;0;;156;;;;;;
_annotate_regions;_annotate_regions;0;;159;;;;;;
_clip;_clip;0;;185;;;;;;
_clip;_clip_scalar;1;_clip;0;_clip;_clip_scalar;190;185;0;Action._clip_scalar
RGBWert.__post_init__;RGBWert.__post_init__;0;;205;;;;;;
RGBWert.to_hex;RGBWert.to_hex;0;;212;;;;;;
Kreis.__post_init__;Kreis.__post_init__;0;;230;;;;;;
Griff.laenge;Griff.laenge;0;;245;;;;;;
Griff.laenge;abstand;1;Griff.laenge;288;Griff.laenge;abstand;246;245;288;abstand
Kelle.__post_init__;Kelle.__post_init__;0;;254;;;;;;
Kelle.to_svg;Kelle.to_svg;0;;260;;;;;;
Kelle.to_svg;to_hex;1;Kelle.to_svg;0;Kelle.to_svg;to_hex;273;260;0;self.kreis.rand_farbe.to_hex
build_oriented_kelle;build_oriented_kelle;0;;292;;;;;;
GlobalParameterVector.from_params;GlobalParameterVector.from_params;0;;366;;;;;;
GlobalParameterVector.apply_to_params;GlobalParameterVector.apply_to_params;0;;385;;;;;;
load_binary_image_with_mode;load_binary_image_with_mode;0;;516;;;;;;
load_binary_image_with_mode;load_grayscale_image;1;load_binary_image_with_mode;409;load_binary_image_with_mode;load_grayscale_image;517;516;409;load_grayscale_image
load_binary_image_with_mode;_compute_otsu_threshold;1;load_binary_image_with_mode;470;load_binary_image_with_mode;_compute_otsu_threshold;522;516;470;_compute_otsu_threshold
load_binary_image_with_mode;_adaptive_threshold;1;load_binary_image_with_mode;501;load_binary_image_with_mode;_adaptive_threshold;525;516;501;_adaptive_threshold
optimize_element;optimize_element;0;;562;;;;;;
optimize_element;score_candidate;1;optimize_element;554;optimize_element;score_candidate;570;562;554;score_candidate
optimize_element;render_candidate_mask;2;score_candidate;529;score_candidate;render_candidate_mask;555;554;529;render_candidate_mask
optimize_element;_iou;2;score_candidate;542;score_candidate;_iou;555;554;542;_iou
optimize_element;random_neighbor;1;optimize_element;558;optimize_element;random_neighbor;569;562;558;random_neighbor
optimize_element;uniform;2;random_neighbor;0;random_neighbor;uniform;559;558;0;rng.uniform
decompose_circle_with_stem;decompose_circle_with_stem;0;;619;;;;;;
decompose_circle_with_stem;_gray_to_hex;1;decompose_circle_with_stem;581;decompose_circle_with_stem;_gray_to_hex;729;619;581;_gray_to_hex
decompose_circle_with_stem;estimate_stroke_style;1;decompose_circle_with_stem;586;decompose_circle_with_stem;estimate_stroke_style;686;619;586;estimate_stroke_style
decompose_circle_with_stem;_gray_to_hex;2;estimate_stroke_style;581;estimate_stroke_style;_gray_to_hex;603;586;581;_gray_to_hex
decompose_circle_with_stem;candidate_to_svg;1;decompose_circle_with_stem;607;decompose_circle_with_stem;candidate_to_svg;725;619;607;candidate_to_svg
_missing_required_image_dependencies;_missing_required_image_dependencies;0;;735;;;;;;
CallableCollector.__init__;CallableCollector.__init__;0;;768;;;;;;
CallableCollector.visit_ClassDef;CallableCollector.visit_ClassDef;0;;771;;;;;;
CallableCollector.visit_FunctionDef;CallableCollector.visit_FunctionDef;0;;776;;;;;;
CallableCollector.visit_AsyncFunctionDef;CallableCollector.visit_AsyncFunctionDef;0;;782;;;;;;
CallEdgeCollector.__init__;CallEdgeCollector.__init__;0;;792;;;;;;
CallEdgeCollector.visit_ClassDef;CallEdgeCollector.visit_ClassDef;0;;799;;;;;;
CallEdgeCollector.visit_FunctionDef;CallEdgeCollector.visit_FunctionDef;0;;804;;;;;;
CallEdgeCollector.visit_AsyncFunctionDef;CallEdgeCollector.visit_AsyncFunctionDef;0;;810;;;;;;
CallEdgeCollector.visit_Call;CallEdgeCollector.visit_Call;0;;816;;;;;;
Perception.__post_init__;Perception.__post_init__;0;;919;;;;;;
Perception.__post_init__;get_base_name_from_file;1;Perception.__post_init__;903;Perception.__post_init__;get_base_name_from_file;920;919;903;get_base_name_from_file
Perception.__post_init__;Perception._load_descriptions;1;Perception.__post_init__;924;Perception.__post_init__;Perception._load_descriptions;922;919;924;self._load_descriptions
Perception.__post_init__;_load_description_mapping;2;Perception._load_descriptions;959;Perception._load_descriptions;_load_description_mapping;925;924;959;_load_description_mapping
Perception.__post_init__;_load_description_mapping_from_csv;3;_load_description_mapping;966;_load_description_mapping;_load_description_mapping_from_csv;963;959;966;_load_description_mapping_from_csv
Perception.__post_init__;_load_description_mapping_from_xml;3;_load_description_mapping;1011;_load_description_mapping;_load_description_mapping_from_xml;962;959;1011;_load_description_mapping_from_xml
