variant;status;perf_probe_total_sec;global_search_sec;circle_center_sec;circle_radius_sec;width_opt_sec;probe_events
AC0836_L;semantic_ok;3.55;3.37;0.08;0.1;0.0;18
AC0838_M;semantic_ok;2.98;2.63;0.25;0.1;0.0;11
AC0831_L;semantic_ok;2.74;2.4;0.16;0.18;0.0;16
AC0870_M;semantic_ok;2.08;1.66;0.35;0.07;0.0;14
AC0835_L;semantic_ok;2.07;1.87;0.11;0.09;0.0;18
AC0882_M;semantic_ok;1.99;1.36;0.5;0.13;0.0;18
AC0842_L;semantic_ok;1.79;1.27;0.35;0.17;0.0;7
AC0881_M;semantic_ok;1.72;1.25;0.37;0.1;0.0;18
AC0838_L;semantic_ok;1.66;1.62;0.04;0.0;0.0;10
AC0820_S;semantic_ok;1.31;0.97;0.27;0.07;0.0;10
AC0842_M;semantic_ok;1.3;1.08;0.15;0.07;0.0;7
AC0882_L;semantic_ok;1.23;0.93;0.23;0.07;0.0;7
AC0837_L;semantic_ok;1.01;0.79;0.13;0.09;0.0;10
AC0833_L;semantic_ok;0.87;0.82;0.05;0.0;0.0;11
AC0814_S;semantic_ok;0.86;0.64;0.16;0.06;0.0;10
AC0832_M;semantic_ok;0.84;0.66;0.13;0.05;0.0;10
AC0820_L;semantic_ok;0.79;0.57;0.19;0.03;0.0;14
AC0831_M;semantic_ok;0.75;0.7;0.02;0.03;0.0;18
AC0811_L;semantic_ok;0.69;0.54;0.13;0.02;0.0;10
AC0839_M;semantic_ok;0.57;0.46;0.06;0.05;0.0;7
AC0813_L;semantic_ok;0.56;0.41;0.09;0.06;0.0;7
AC0812_L;semantic_ok;0.54;0.41;0.1;0.03;0.0;7
AC0813_S;semantic_ok;0.2;0.14;0.04;0.02;0.0;7
AC0881_S;semantic_ok;0.2;0.16;0.03;0.01;0.0;7
AC0800_L;semantic_ok;0.0;0.0;0.0;0.0;0.0;0
AC0800_M;semantic_ok;0.0;0.0;0.0;0.0;0.0;0
AC0800_S;semantic_ok;0.0;0.0;0.0;0.0;0.0;0
AC0811_M;semantic_ok;0.0;0.0;0.0;0.0;0.0;0
AC0811_S;semantic_ok;0.0;0.0;0.0;0.0;0.0;0
AC0812_M;semantic_ok;0.0;0.0;0.0;0.0;0.0;0
AC0812_S;semantic_ok;0.0;0.0;0.0;0.0;0.0;0
AC0813_M;semantic_ok;0.0;0.0;0.0;0.0;0.0;0
AC0814_L;semantic_ok;0.0;0.0;0.0;0.0;0.0;0
AC0814_M;semantic_ok;0.0;0.0;0.0;0.0;0.0;0
AC0820_M;semantic_ok;0.0;0.0;0.0;0.0;0.0;0
AC0831_S;semantic_ok;0.0;0.0;0.0;0.0;0.0;0
AC0832_L;semantic_ok;0.0;0.0;0.0;0.0;0.0;0
AC0832_S;semantic_ok;0.0;0.0;0.0;0.0;0.0;0
AC0833_M;semantic_ok;0.0;0.0;0.0;0.0;0.0;0
AC0833_S;semantic_ok;0.0;0.0;0.0;0.0;0.0;0
AC0834_L;semantic_ok;0.0;0.0;0.0;0.0;0.0;0
AC0834_M;semantic_ok;0.0;0.0;0.0;0.0;0.0;0
AC0834_S;semantic_ok;0.0;0.0;0.0;0.0;0.0;0
AC0835_M;semantic_ok;0.0;0.0;0.0;0.0;0.0;0
AC0835_S;semantic_ok;0.0;0.0;0.0;0.0;0.0;0
AC0836_M;semantic_ok;0.0;0.0;0.0;0.0;0.0;0
AC0836_S;semantic_ok;0.0;0.0;0.0;0.0;0.0;0
AC0837_M;semantic_ok;0.0;0.0;0.0;0.0;0.0;0
AC0837_S;semantic_ok;0.0;0.0;0.0;0.0;0.0;0
AC0838_S;semantic_ok;0.0;0.0;0.0;0.0;0.0;0
AC0839_L;semantic_ok;0.0;0.0;0.0;0.0;0.0;0
AC0839_S;semantic_ok;0.0;0.0;0.0;0.0;0.0;0
AC0840_L;conversion_failed;0.0;0.0;0.0;0.0;0.0;0
AC0840_M;conversion_failed;0.0;0.0;0.0;0.0;0.0;0
