variant;filename;status;best_iter;best_error;error_per_pixel;mean_delta2;std_delta2
AC0020_L;AC0020_L.jpg;;1;10.680238;0.00190719;3343.862061;13048.293945
AC0020_M;AC0020_M.jpg;;1;12.285354;0.00372283;3775.528809;12635.041016
AC0020_S;AC0020_S.jpg;;1;13.062083;0.00544253;4254.672852;14339.326172
AC0021;AC0021.jpg;;1;25.995662;0.00650542;8588.233398;20976.240234
AC0022;AC0022.jpg;;1;32.347848;0.00809506;12086.627930;24395.402344
AC0023;AC0023.jpg;;1;20.980952;0.00540050;6322.359863;17504.300781
AC0026;AC0026.jpg;;1;24.990390;0.00643253;8509.869141;20439.101562
AC0040_L;AC0040_L.jpg;;1;9.056548;0.00161724;2153.699951;6874.357422
AC0040_M;AC0040_M.jpg;;1;11.103434;0.00336468;2865.527344;7852.944824
AC0040_S;AC0040_S.jpg;;1;11.373056;0.00473877;2983.760742;8401.873047
AC0050_L;AC0050_L.jpg;;1;8.957440;0.00159954;2118.296631;6944.215820
AC0050_M;AC0050_M.jpg;;1;11.178586;0.00338745;2864.178223;7865.455566
AC0050_S;AC0050_S.jpg;;1;11.258056;0.00469086;2895.880859;7966.121094
AC0060_L;AC0060_L.jpg;;1;19.527024;0.00348697;8651.429688;21904.222656
AC0060_M;AC0060_M.jpg;;1;14.692828;0.00445237;5193.852051;16507.175781
AC0060_S;AC0060_S.jpg;;1;18.778194;0.00782425;7261.456543;19723.328125
AC0070_L;AC0070_L.jpg;;1;26.839583;0.00479278;12492.641602;25871.994141
AC0070_M;AC0070_M.jpg;;1;21.467172;0.00650520;8668.699219;21139.792969
AC0070_S;AC0070_S.jpg;;1;25.592222;0.01066343;10701.716797;23323.591797
AC0080_L;AC0080_L.jpg;;1;20.191250;0.00360558;8989.798828;22188.373047
AC0080_M;AC0080_M.jpg;;1;15.520606;0.00470321;5603.960449;17097.660156
AC0080_S;AC0080_S.jpg;;1;19.707917;0.00821163;7489.996582;18702.964844
AC0090_L;AC0090_L.jpg;;1;26.861905;0.00479677;12495.940430;25843.201172
AC0090_M;AC0090_M.jpg;;1;21.453535;0.00650107;8643.592773;21113.701172
AC0090_S;AC0090_S.jpg;;1;25.574167;0.01065590;10683.740234;23238.861328
AC0800_L;AC0800_L.jpg;;1;6.882222;0.00764691;626.599976;1559.946289
AC0800_M;AC0800_M.jpg;;1;2.422500;0.00605625;54.187500;149.620270
AC0800_S;AC0800_S.jpg;;1;10.382222;0.04614321;912.693359;1689.000244
AC0812_L;AC0812_L.jpg;;1;6.350222;0.00564464;896.602661;3028.920166
AC0812_M;AC0812_M.jpg;;1;8.734286;0.01247755;1687.868530;6916.199707
AC0812_S;AC0812_S.jpg;;1;15.032000;0.04008533;2840.728027;7168.173828
AC0814_L;AC0814_L.jpg;;1;8.255111;0.00733788;1422.631958;4842.740723
AC0814_M;AC0814_M.jpg;;1;8.498571;0.01214082;1679.704346;6910.367188
AC0814_S;AC0814_S.jpg;;1;8.328000;0.02220800;816.903992;1924.513672
AC0820_L;AC0820_L.jpg;;1;29.991111;0.03332346;7415.833496;13547.906250
AC0820_M;AC0820_M.jpg;;1;25.745000;0.06436250;6335.069824;14144.242188
AC0820_S;AC0820_S.jpg;;1;24.360000;0.10826667;4106.946777;7095.816406
AC0832_L;AC0832_L.jpg;;1;20.603556;0.01831427;5180.375977;12194.322266
AC0832_M;AC0832_M.jpg;;1;21.580000;0.03082857;5069.057129;11100.583984
AC0832_S;AC0832_S.jpg;;1;19.322667;0.05152711;3608.352051;7971.262695
AC0834_L;AC0834_L.jpg;;1;15.263111;0.01356721;3474.343994;10004.447266
AC0834_M;AC0834_M.jpg;;1;17.101429;0.02443061;4146.106934;11526.785156
AC0834_S;AC0834_S.jpg;;1;16.128000;0.04300800;2949.199951;9165.305664
AC0835_L;AC0835_L.jpg;;1;26.400000;0.04224000;7055.779297;14885.932617
AC0835_M;AC0835_M.jpg;;1;19.330000;0.04832500;5003.834961;13239.974609
AC0835_S;AC0835_S.jpg;;1;29.982222;0.13325432;6507.946777;12289.017578
AC0837_L;AC0837_L.jpg;;1;22.920000;0.02037333;5889.501465;13298.699219
AC0837_M;AC0837_M.jpg;;1;22.544286;0.03220612;5484.287109;12109.269531
AC0837_S;AC0837_S.jpg;;1;23.240000;0.06197333;5072.136230;10980.271484
AC0839_L;AC0839_L.jpg;;1;15.052444;0.01337995;3514.954590;10554.486328
AC0839_M;AC0839_M.jpg;;1;20.977143;0.02996735;5244.240234;12270.012695
AC0839_S;AC0839_S.jpg;;1;17.666667;0.04711111;3506.040039;10249.995117
AC0842_L;AC0842_L.jpg;;1;23.616889;0.02099279;6476.056152;14345.501953
AC0842_M;AC0842_M.jpg;;1;25.597143;0.03656735;7184.434082;15197.411133
AC0842_S;AC0842_S.jpg;;1;26.565333;0.07084089;6061.328125;12555.887695
AC0870_L;AC0870_L.jpg;;1;25.751111;0.02861235;6173.033203;12809.693359
AC0870_M;AC0870_M.jpg;;1;28.562500;0.07140625;6118.687500;10835.266602
AC0870_S;AC0870_S.jpg;;1;32.857778;0.14603457;6242.066895;8996.422852
AC0882_L;AC0882_L.jpg;;1;13.128889;0.01167012;2773.642578;8363.817383
AC0882_M;AC0882_M.jpg;;1;24.281429;0.03468776;6909.921387;15259.439453
AC0882_S;AC0882_S.jpg;;1;15.704000;0.04187733;3027.560059;9747.815430
