image;mean_delta2;std_delta2
GE9002_4S.jpg;73769.203125;61474.636719
GE9002_6S.jpg;28642.240234;39435.859375
GE9002_7S.jpg;16292.563477;36518.019531
AC0835_L.jpg;9370.132812;15328.667969
AC0820_L.jpg;8178.676758;14730.507812
AC0842_M.jpg;6802.834473;14225.261719
AC0842_L.jpg;6431.861328;13996.473633
AC0837_M.jpg;6366.197266;13228.366211
AC0820_M.jpg;6357.015137;14149.374023
AC0842_S.jpg;6076.687988;12720.378906
AC0837_L.jpg;5872.936035;13321.262695
AC0832_L.jpg;5306.805176;12302.107422
AC0832_M.jpg;5197.907227;11009.305664
AC0839_M.jpg;5129.790039;12930.778320
AC0837_S.jpg;4994.383789;10821.567383
AC0882_S.jpg;4948.496094;10045.763672
AC0882_M.jpg;4731.419922;13884.470703
AC0834_S.jpg;3770.976074;11067.128906
AC0834_L.jpg;3441.373291;10836.288086
AC0882_L.jpg;2166.453369;7459.955566
AC0040_L.jpg;2153.699951;6874.357422
AC0050_L.jpg;2118.296631;6944.215820
AC0870_L.jpg;1791.056641;4784.388184
AC0812_M.jpg;1687.868530;6916.199707
AC0814_M.jpg;1679.704346;6910.367188
AC0800_L.jpg;1335.596680;4258.021973
AC0800_S.jpg;899.773315;1675.581177
GE1312_S.jpg;892.024780;2555.865967
AC0812_L.jpg;819.733337;2630.451172
AC0814_L.jpg;815.807983;2673.526855
AC0814_S.jpg;748.719971;2077.811279
AC0812_S.jpg;697.168030;1595.431396
AC0800_M.jpg;53.910000;149.655472
