base;variants;prototype_group;intra_family_max_delta;prototype_max_delta;variant_count
AC0800;AC0800_L|AC0800_M|AC0800_S;circle+no_text+no_stem+no_arm+text_mode:none;0.0333;0.0000;3
AC0812;AC0812_L|AC0812_M|AC0812_S;ac08_rot_mirror_alias;0.2089;0.0000;3
AC0814;AC0814_L|AC0814_M|AC0814_S;ac08_rot_mirror_alias;0.4200;0.0000;3
AC0820;AC0820_L|AC0820_S;circle+text+no_stem+no_arm+text_mode:co2;0.0500;0.0000;2
AC0832;AC0832_L|AC0832_M|AC0832_S;ac08_rot_mirror_alias;0.0733;0.0000;3
AC0834;AC0834_L|AC0834_M|AC0834_S;ac08_rot_mirror_alias;0.4200;0.0000;3
AC0835;AC0835_L|AC0835_M|AC0835_S;circle+text+no_stem+no_arm+text_mode:voc;0.0500;0.0000;3
AC0837;AC0837_L|AC0837_M|AC0837_S;ac08_rot_mirror_alias;0.1111;0.0000;3
AC0839;AC0839_L|AC0839_M|AC0839_S;ac08_rot_mirror_alias;0.0622;0.0000;3
AC0840;AC0840_L|AC0840_M|AC0840_S;ac08_rot_mirror_alias;0.0307;0.0000;3
AC0841;AC0841_L|AC0841_M|AC0841_S;ac08_rot_mirror_alias;0.0245;0.0000;3
AC0842;AC0842_L|AC0842_M|AC0842_S;ac08_rot_mirror_alias;0.0867;0.0000;3
AC0843;AC0843_L|AC0843_M|AC0843_S;ac08_rot_mirror_alias;1.0000;0.0000;3
AC0844;AC0844_L|AC0844_M|AC0844_S;ac08_rot_mirror_alias;0.0467;0.0000;3
AC0850;AC0850_L|AC0850_M|AC0850_S;circle+no_text+no_stem+no_arm+text_mode:none;0.1500;0.0000;3
AC0861;AC0861_L|AC0861_M|AC0861_S;ac08_rot_mirror_alias;0.0657;0.0000;3
AC0862;AC0862_L|AC0862_M|AC0862_S;ac08_rot_mirror_alias;0.1067;0.0000;3
AC0863;AC0863_L|AC0863_M|AC0863_S;ac08_rot_mirror_alias;0.6571;0.0000;3
AC0864;AC0864_L|AC0864_M|AC0864_S;ac08_rot_mirror_alias;0.0467;0.0000;3
AC0870;AC0870_L|AC0870_M|AC0870_S;circle+no_text+no_stem+no_arm+text_mode:none;0.1500;0.0000;3
AC0882;AC0882_L|AC0882_M|AC0882_S;ac08_rot_mirror_alias;0.1000;0.0000;3
AC0883;AC0883_L|AC0883_M|AC0883_S;ac08_rot_mirror_alias;0.4400;0.0000;3
AC0884;AC0884_L|AC0884_M|AC0884_S;ac08_rot_mirror_alias;0.0650;0.0000;3
AC0890;AC0890_L|AC0890_M|AC0890_S;ac08_rot_mirror_alias;0.0933;0.0000;3
