image;mean_delta2;std_delta2;tile_std_delta2;localized_error_fraction;spatial_quality_score
AC0845_M.jpg;8573.910156;18351.500000;14201.693077;0.937700;30558.897460
AC0850_L.jpg;8057.353516;19025.111328;12868.075072;0.915979;26898.982840
AC0080_L.jpg;8197.583984;21268.318359;14011.417111;0.879228;26265.029591
AC0538_1L_sia.jpg;7369.013672;18852.742188;13537.790125;0.913124;26087.201503
AC0538_1M_sia.jpg;7029.732422;18201.056641;13741.300226;0.934001;24386.090350
AC0848_M.jpg;8519.065430;16905.654297;11402.654458;0.754728;23662.184249
AC0846_M.jpg;7122.595703;15803.965820;10701.481637;0.850567;22993.349478
AC0870_M.jpg;8397.247070;16494.732422;10412.258310;0.746116;22664.482918
AC0848_S.jpg;6134.576172;15423.582031;12257.315891;0.930110;22428.293536
AC0849_M.jpg;6898.658691;16462.849609;9602.004721;0.848559;22330.308576
AC0538_1S_sia.jpg;6741.947266;17462.550781;11771.587318;0.910335;22181.651664
AC0843_M.jpg;9258.681641;15858.738281;9092.416993;0.634128;21636.716850
AC0850_M.jpg;6655.042480;15068.831055;10204.506272;0.866851;21067.281059
AC0845_L.jpg;9777.681641;16489.255859;9029.706957;0.522841;20689.123701
AC0847_M.jpg;8106.115723;16005.133789;9570.593198;0.681586;20637.439790
AC0847_S.jpg;5628.023926;14603.270508;10986.923729;0.935209;20633.729448
AC0080_S.jpg;6747.599121;17650.529297;11052.510686;0.818000;20544.093558
AC0884_S.jpg;6813.423828;15251.488281;11209.199185;0.827672;20538.951539
AC0840_L.jpg;7595.080078;14050.907227;8382.227326;0.734065;20081.775386
AC0848_L.jpg;5940.815918;15204.540039;10186.301486;0.856574;19993.071152
AC0538_2L_sia.jpg;5832.401367;14887.800781;10091.594687;0.890178;19985.456793
AC0846_S.jpg;5447.295898;13343.129883;10075.948630;0.944884;19712.162859
AC0849_S.jpg;5522.895996;14156.249023;10119.262976;0.904662;19662.942187
AC0841_M.jpg;8578.126953;14461.796875;8376.164197;0.638379;19619.094677
AC0847_L.jpg;5516.181152;15287.253906;9873.448318;0.875403;19480.238423
AC0849_L.jpg;5412.093262;15216.171875;10104.028444;0.918589;19361.351482
AC0840_M.jpg;6745.424805;12983.394531;8308.317476;0.798117;19301.108174
AC0840_S.jpg;6275.120117;13121.191406;8467.199432;0.833899;19283.008495
AC0841_S.jpg;7376.640137;13768.831055;8246.982016;0.697371;19229.678707
AC0538_2M_sia.jpg;5574.519043;14576.020508;10360.311547;0.922528;19055.936332
