pass;filename;old_error_per_pixel;new_error_per_pixel;old_mean_delta2;new_mean_delta2;improved;decision;iteration_budget;badge_validation_rounds
1;AC0882_M.jpg;0.03410204;0.04456939;6216.265625;8440.212891;0;rejected_regression;129;7
1;AC0839_M.jpg;0.02809592;0.03008980;4490.009766;5124.891602;0;rejected_regression;129;7
1;AC0839_S.jpg;0.06521600;0.06973867;5286.983887;5944.711914;0;rejected_regression;129;7
1;AC0882_S.jpg;0.07061333;0.10481778;5890.863770;10729.967773;0;rejected_regression;129;7
1;AC0835_M.jpg;0.04822500;0.11575000;5001.254883;12365.549805;0;rejected_regression;129;7
1;AC0836_M.jpg;0.03666735;0.03690612;6596.284180;6842.982910;0;rejected_regression;129;7
1;AC0835_S.jpg;0.12003951;0.19678025;5685.853516;10382.026367;0;rejected_regression;129;7
1;AC0837_S.jpg;0.05247289;0.06655289;4109.640137;5641.352051;0;rejected_regression;129;7
1;AC0831_S.jpg;0.05073067;0.05312711;3717.583984;3938.023926;0;rejected_regression;129;7
1;AC0832_S.jpg;0.05196800;0.05344711;3769.231934;3904.976074;0;rejected_regression;129;7
1;AC0835_L.jpg;0.03808256;0.07718912;5724.547363;13716.393555;0;rejected_regression;129;7
1;AC0870_M.jpg;0.06536250;0.10847500;6105.555176;11222.370117;0;rejected_regression;129;7
1;AC0881_S.jpg;0.03227022;0.03227022;1598.095947;1598.095947;0;rejected_regression;129;7
1;AC0836_S.jpg;0.05516800;0.05696000;4694.784180;4468.399902;1;accepted_improvement;129;7
1;AC0820_S.jpg;0.10820741;0.20047407;4272.319824;10370.040039;0;rejected_regression;129;7
1;AC0881_M.jpg;0.02747755;0.02747755;4247.468750;4247.468750;0;rejected_regression;129;7
1;AC0838_M.jpg;0.03752041;0.04164490;6640.135742;8183.879883;0;rejected_regression;129;7
1;AC0834_S.jpg;0.06185244;0.07222756;5007.616211;5992.695801;0;rejected_regression;129;7
1;AC0832_M.jpg;0.03174286;0.03316122;5160.977051;5338.572754;0;rejected_regression;129;7
1;AC0837_M.jpg;0.03490816;0.03490816;6030.021484;6030.021484;0;rejected_regression;129;7
1;AC0820_M.jpg;0.03945000;0.05215000;4028.175049;5409.930176;0;rejected_regression;129;7
2;AC0820_S.jpg;0.10820741;0.20047407;4272.319824;10370.040039;0;rejected_regression;156;9
2;AC0835_S.jpg;0.12003951;0.19678025;5685.853516;10382.026367;0;rejected_regression;156;9
2;AC0831_S.jpg;0.05073067;0.05312711;3717.583984;3938.023926;0;rejected_regression;156;9
2;AC0832_M.jpg;0.03174286;0.03316122;5160.977051;5338.572754;0;rejected_regression;156;9
2;AC0837_S.jpg;0.05247289;0.06655289;4109.640137;5641.352051;0;rejected_regression;156;9
2;AC0839_S.jpg;0.06521600;0.06973867;5286.983887;5944.711914;0;rejected_regression;156;9
2;AC0839_M.jpg;0.02809592;0.03008980;4490.009766;5124.891602;0;rejected_regression;156;9
2;AC0836_M.jpg;0.03666735;0.03690612;6596.284180;6842.982910;0;rejected_regression;156;9
2;AC0881_M.jpg;0.02747755;0.02747755;4247.468750;4247.468750;0;rejected_regression;156;9
2;AC0882_S.jpg;0.07061333;0.10481778;5890.863770;10729.967773;0;rejected_regression;156;9
2;AC0838_M.jpg;0.03752041;0.04164490;6640.135742;8183.879883;0;rejected_regression;156;9
2;AC0882_M.jpg;0.03410204;0.04456939;6216.265625;8440.212891;0;rejected_regression;156;9
2;AC0837_M.jpg;0.03490816;0.03490816;6030.021484;6030.021484;0;rejected_regression;156;9
2;AC0881_S.jpg;0.03227022;0.03227022;1598.095947;1598.095947;0;rejected_regression;156;9
2;AC0834_S.jpg;0.06185244;0.07222756;5007.616211;5992.695801;0;rejected_regression;156;9
2;AC0835_L.jpg;0.03808256;0.07718912;5724.547363;13716.393555;0;rejected_regression;156;9
2;AC0832_S.jpg;0.05196800;0.05344711;3769.231934;3904.976074;0;rejected_regression;156;9
2;AC0836_S.jpg;0.05696000;0.05696000;4468.399902;4468.399902;0;rejected_regression;156;9
2;AC0870_M.jpg;0.06536250;0.10847500;6105.555176;11222.370117;0;rejected_regression;156;9
2;AC0835_M.jpg;0.04822500;0.11575000;5001.254883;12365.549805;0;rejected_regression;156;9
2;AC0820_M.jpg;0.03945000;0.05215000;4028.175049;5409.930176;0;rejected_regression;156;9
3;AC0832_M.jpg;0.03174286;0.03316122;5160.977051;5338.572754;0;rejected_regression;185;11
3;AC0820_S.jpg;0.10820741;0.20047407;4272.319824;10370.040039;0;rejected_regression;185;11
3;AC0837_M.jpg;0.03490816;0.03490816;6030.021484;6030.021484;0;rejected_regression;185;11
3;AC0837_S.jpg;0.05247289;0.06655289;4109.640137;5641.352051;0;rejected_regression;185;11
3;AC0870_M.jpg;0.06536250;0.10847500;6105.555176;11222.370117;0;rejected_regression;185;11
3;AC0835_L.jpg;0.03808256;0.07718912;5724.547363;13716.393555;0;rejected_regression;185;11
3;AC0838_M.jpg;0.03752041;0.04164490;6640.135742;8183.879883;0;rejected_regression;185;11
3;AC0836_M.jpg;0.03666735;0.03690612;6596.284180;6842.982910;0;rejected_regression;185;11
3;AC0832_S.jpg;0.05196800;0.05344711;3769.231934;3904.976074;0;rejected_regression;185;11
3;AC0835_S.jpg;0.12003951;0.19678025;5685.853516;10382.026367;0;rejected_regression;185;11
3;AC0820_M.jpg;0.03945000;0.05215000;4028.175049;5409.930176;0;rejected_regression;185;11
3;AC0881_S.jpg;0.03227022;0.03227022;1598.095947;1598.095947;0;rejected_regression;185;11
3;AC0834_S.jpg;0.06185244;0.07222756;5007.616211;5992.695801;0;rejected_regression;185;11
3;AC0831_S.jpg;0.05073067;0.05312711;3717.583984;3938.023926;0;rejected_regression;185;11
3;AC0882_M.jpg;0.03410204;0.04456939;6216.265625;8440.212891;0;rejected_regression;185;11
3;AC0882_S.jpg;0.07061333;0.10481778;5890.863770;10729.967773;0;rejected_regression;185;11
3;AC0881_M.jpg;0.02747755;0.02747755;4247.468750;4247.468750;0;rejected_regression;185;11
3;AC0836_S.jpg;0.05696000;0.05696000;4468.399902;4468.399902;0;rejected_regression;185;11
3;AC0835_M.jpg;0.04822500;0.11575000;5001.254883;12365.549805;0;rejected_regression;185;11
3;AC0839_M.jpg;0.02809592;0.03008980;4490.009766;5124.891602;0;rejected_regression;185;11
3;AC0839_S.jpg;0.06521600;0.06973867;5286.983887;5944.711914;0;rejected_regression;185;11
3;AC0832_S.jpg;0.05196800;0.04868978;3769.231934;3375.367920;1;accepted_improvement;185;11
3;AC0836_M.jpg;0.03666735;0.03152653;6596.284180;5806.568359;1;accepted_improvement;185;11
3;AC0836_S.jpg;0.05696000;0.05516800;4468.399902;4694.784180;1;accepted_improvement;185;11
4;AC0836_M.jpg;0.03152653;0.03690612;5806.568359;6842.982910;0;rejected_regression;132;10
4;AC0870_M.jpg;0.06536250;0.10847500;6105.555176;11222.370117;0;rejected_regression;132;10
4;AC0835_S.jpg;0.12003951;0.19678025;5685.853516;10382.026367;0;rejected_regression;132;10
