Dateiname;Gefundene Elemente;Beste Iteration;Diff-Score;FehlerProPixel
AC0021.jpg;SEMANTIC: zwei vertikale farbige Pfeile (blau runter, rot hoch);1;24.84;0.00621699
AC0030_S.jpg;;1;13.09;0.00545353
AC0060_L.jpg;SEMANTIC: zwei vertikale farbige Pfeile (blau runter, rot hoch);1;18.44;0.00329363
AC0100_M.jpg;;1;15.34;0.00852233
AC0150_2.jpg;;1;42.43;0.01326055
AC0150_L.jpg;;1;28.81;0.00120049
AC0151_L.jpg;MANUELL: Beschreibung unzureichend (fehlende Geometriehinweise oder leerer Beschreibungstext).;1;30.38;0.00094936
AC0153_S.jpg;;1;34.54;0.00483066
AC0201_2.jpg;;1;11.91;0.00476416
AC0201_S_sia.jpg;;1;26.86;0.05372000
AC0202_1.jpg;;1;14.14;0.00565563
AC0202_L_sia.jpg;;1;26.68;0.00820958
AC0203_1.jpg;;1;9.74;0.00389627
AC0204_L.jpg;;1;28.43;0.00874815
AC0212_M.jpg;;1;23.44;0.01953079
AC0221_S_sia.jpg;;1;18.22;0.03036944
AC0222_L.jpg;;1;29.35;0.00782777
AC0222_S_sia.jpg;;1;25.83;0.04304722
AC0224_M.jpg;;1;5.00;0.00370206
AC0234_M.jpg;;1;26.07;0.01930956
AC0243_S.jpg;MANUELL: Beschreibung fordert manuelle Zuordnung zu einer finalen Wurzelform-Kategorie.;1;23.05;0.04610133
AC0254_1.jpg;;1;21.57;0.02244526
AC0254_2.jpg;;1;11.07;0.01151751
AC0302_1S_sia.jpg;;1;45.88;0.02867487
AC0302_S_sia.jpg;;1;25.60;0.01599961
AC0304_1_L.jpg;;1;13.68;0.00213693
AC0304_2L_sia.jpg;;1;22.65;0.00353918
AC0304_S_sia.jpg;;1;25.63;0.01601641
AC0401_1S_sia.jpg;;1;35.71;0.08926875
AC0401_1_L.jpg;;1;15.88;0.00992630
AC0401_S_sia.jpg;;1;36.28;0.09070000
AC0402_2.jpg;;1;10.21;0.00283688
AC0402_2S_sia.jpg;;1;31.31;0.07828542
AC0402_L_sia.jpg;;1;38.80;0.02425234
AC0404_1M_sia.jpg;;1;27.81;0.03089630
AC0404_S.jpg;;1;36.58;0.09145208
AC0411_2_S.jpg;MANUELL: Beschreibung fordert manuelle Zuordnung zu einer finalen Wurzelform-Kategorie.;1;37.57;0.09392500
AC0411_L.jpg;MANUELL: Beschreibung fordert manuelle Zuordnung zu einer finalen Wurzelform-Kategorie.;1;17.60;0.01099805
AC0411_M.jpg;MANUELL: Beschreibung fordert manuelle Zuordnung zu einer finalen Wurzelform-Kategorie.;1;16.03;0.01780823
AC0412_1_L.jpg;;1;23.94;0.01496003
AC0412_2.jpg;;1;14.60;0.00228157
AC0421_1_L.jpg;MANUELL: Beschreibung fordert manuelle Zuordnung zu einer finalen Wurzelform-Kategorie.;1;49.82;0.03113672
AC0421_2_S.jpg;MANUELL: Beschreibung fordert manuelle Zuordnung zu einer finalen Wurzelform-Kategorie.;1;40.72;0.10180208
AC0422_2_L.jpg;MANUELL: Beschreibung fordert manuelle Zuordnung zu einer finalen Wurzelform-Kategorie.;1;39.19;0.02449193
AC0424_1_M.jpg;MANUELL: Beschreibung fordert manuelle Zuordnung zu einer finalen Wurzelform-Kategorie.;1;33.08;0.03676049
AC0424_1_S.jpg;MANUELL: Beschreibung fordert manuelle Zuordnung zu einer finalen Wurzelform-Kategorie.;1;41.83;0.10458542
