variant;filename;status;best_iter;best_error;error_per_pixel;mean_delta2;std_delta2
AC0021;AC0021.jpg;;1;24.843093;0.00621699;7961.668945;20296.365234
AC0030_S;AC0030_S.jpg;;1;13.088472;0.00545353;4223.241211;13888.156250
AC0060_L;AC0060_L.jpg;;1;18.444345;0.00329363;8045.851562;21221.781250
AC0100_M;AC0100_M.jpg;;1;15.340185;0.00852233;1564.094971;5091.751465
AC0150_2;AC0150_2.jpg;;1;42.433750;0.01326055;7988.364258;9553.221680
AC0150_L;AC0150_L.jpg;;1;28.811806;0.00120049;6549.598633;11495.240234
AC0151_L;AC0151_L.jpg;;1;30.379490;0.00094936;4563.439453;4922.208496
AC0153_S;AC0153_S.jpg;;1;34.539254;0.00483066;10776.964844;19395.074219
AC0201_2;AC0201_2.jpg;;1;11.910400;0.00476416;1258.668823;3909.534180
AC0201_S_SIA;AC0201_S_sia.jpg;;1;26.860000;0.05372000;3900.708008;6501.945312
AC0202_1;AC0202_1.jpg;;1;14.139067;0.00565563;2370.021240;7359.681152
AC0202_L_SIA;AC0202_L_sia.jpg;;1;26.681128;0.00820958;5900.386230;11960.306641
AC0203_1;AC0203_1.jpg;;1;9.740667;0.00389627;695.226013;1482.472046
AC0204_L;AC0204_L.jpg;;1;28.431487;0.00874815;7242.609375;13850.659180
AC0212_M;AC0212_M.jpg;;1;23.436944;0.01953079;5211.025879;11558.488281
AC0221_S_SIA;AC0221_S_sia.jpg;;1;18.221667;0.03036944;3035.588379;7373.911133
AC0222_L;AC0222_L.jpg;;1;29.354133;0.00782777;5563.119629;10276.510742
AC0222_S_SIA;AC0222_S_sia.jpg;;1;25.828333;0.04304722;3893.601562;5921.282227
AC0224_M;AC0224_M.jpg;;1;4.997778;0.00370206;245.625931;630.976929
AC0234_M;AC0234_M.jpg;;1;26.067901;0.01930956;6392.465820;14693.001953
AC0243_S;AC0243_S.jpg;;1;23.050667;0.04610133;4470.111816;7946.077148
AC0254_1;AC0254_1.jpg;;1;21.569892;0.02244526;4799.248535;12070.967773
AC0254_2;AC0254_2.jpg;;1;11.068332;0.01151751;587.050964;641.850525
AC0302_1S_SIA;AC0302_1S_sia.jpg;;1;45.879792;0.02867487;10369.479492;9140.958008
AC0302_S_SIA;AC0302_S_sia.jpg;;1;25.599375;0.01599961;5349.333008;9826.880859
AC0304_1_L;AC0304_1_L.jpg;;1;13.676354;0.00213693;4031.300049;12754.378906
AC0304_2L_SIA;AC0304_2L_sia.jpg;;1;22.650729;0.00353918;6186.140137;13881.462891
AC0304_S_SIA;AC0304_S_sia.jpg;;1;25.626250;0.01601641;5331.076172;9761.540039
AC0401_1S_SIA;AC0401_1S_sia.jpg;;1;35.707500;0.08926875;12309.792969;21775.582031
