variant;filename;status;best_iter;best_error;error_per_pixel;mean_delta2;std_delta2
AC0020_L;AC0020_L.jpg;;1;10.596488;0.00189223;3306.549316;13005.636719
AC0020_M;AC0020_M.jpg;;1;12.285354;0.00372283;3775.528809;12635.041016
AC0020_S;AC0020_S.jpg;;1;13.062083;0.00544253;4254.672852;14339.326172
AC0021;AC0021.jpg;;1;24.949616;0.00624365;8012.089355;20327.675781
AC0022;AC0022.jpg;;1;32.347848;0.00809506;12086.627930;24395.402344
AC0023;AC0023.jpg;;1;20.813642;0.00535744;6250.915039;17518.363281
AC0026;AC0026.jpg;;1;24.990390;0.00643253;8509.869141;20439.101562
AC0040_L;AC0040_L.jpg;;1;9.125000;0.00162946;2189.509277;7134.469238
AC0040_M;AC0040_M.jpg;;1;11.103434;0.00336468;2865.527344;7852.944824
AC0040_S;AC0040_S.jpg;;1;11.373333;0.00473889;2983.658447;8402.059570
AC0050_L;AC0050_L.jpg;;1;8.957440;0.00159954;2118.296631;6944.215820
AC0050_M;AC0050_M.jpg;;1;11.178586;0.00338745;2864.178223;7865.455566
AC0050_S;AC0050_S.jpg;;1;11.258056;0.00469086;2895.880859;7966.121094
AC0060_L;AC0060_L.jpg;;1;18.559048;0.00331412;8121.766602;21277.365234
AC0060_M;AC0060_M.jpg;;1;14.015556;0.00424714;4836.509277;15885.477539
AC0060_S;AC0060_S.jpg;;1;17.973611;0.00748900;6830.813477;19110.158203
AC0070_L;AC0070_L.jpg;;1;26.839583;0.00479278;12492.641602;25871.994141
AC0070_M;AC0070_M.jpg;;1;21.467172;0.00650520;8668.699219;21139.792969
AC0070_S;AC0070_S.jpg;;1;25.592222;0.01066343;10701.716797;23323.591797
AC0080_L;AC0080_L.jpg;;1;18.913750;0.00337746;8282.975586;21342.035156
AC0080_M;AC0080_M.jpg;;1;14.504242;0.00439522;5051.044922;16122.140625
AC0080_S;AC0080_S.jpg;;1;18.487917;0.00770330;6825.185547;17661.732422
AC0090_L;AC0090_L.jpg;;1;26.861905;0.00479677;12495.940430;25843.201172
AC0090_M;AC0090_M.jpg;;1;21.453535;0.00650107;8643.592773;21113.701172
AC0090_S;AC0090_S.jpg;;1;25.574167;0.01065590;10683.740234;23238.861328
AC0800_L;AC0800_L.jpg;;1;9.518889;0.01057654;1505.483276;4691.452637
AC0800_M;AC0800_M.jpg;;1;2.405000;0.00601250;53.910000;149.655472
AC0800_S;AC0800_S.jpg;;1;10.306667;0.04580741;899.773315;1675.581177
AC0812_L;AC0812_L.jpg;;1;6.350222;0.00564464;896.602661;3028.920166
AC0812_M;AC0812_M.jpg;;1;8.734286;0.01247755;1687.868530;6916.199707
AC0812_S;AC0812_S.jpg;;1;15.032000;0.04008533;2840.728027;7168.173828
AC0814_L;AC0814_L.jpg;;1;7.216889;0.00641501;1105.309326;3745.901123
AC0814_M;AC0814_M.jpg;;1;10.645714;0.01520816;2301.120117;7761.802734
AC0814_S;AC0814_S.jpg;;1;8.005333;0.02134756;748.719971;2077.811279
AC0820_L;AC0820_L.jpg;;1;30.100000;0.03344444;7456.786621;13595.027344
AC0820_M;AC0820_M.jpg;;1;24.277500;0.06069375;5354.737305;12096.881836
AC0820_S;AC0820_S.jpg;;1;24.360000;0.10826667;4106.946777;7095.816406
AC0832_L;AC0832_L.jpg;;1;20.210667;0.01796504;5137.602539;12152.124023
AC0832_M;AC0832_M.jpg;;1;23.510000;0.03358571;5527.101562;11407.766602
AC0832_S;AC0832_S.jpg;;1;19.826667;0.05287111;3520.040039;7255.926758
AC0834_L;AC0834_L.jpg;;1;15.616889;0.01388168;3638.973389;10358.848633
AC0834_M;AC0834_M.jpg;;1;17.592857;0.02513265;4260.149902;11651.985352
AC0834_S;AC0834_S.jpg;;1;16.128000;0.04300800;2949.199951;9165.305664
AC0835_L;AC0835_L.jpg;;1;36.499200;0.05839872;9343.785156;15093.219727
AC0835_M;AC0835_M.jpg;;1;20.255000;0.05063750;5712.165039;14653.387695
AC0835_S;AC0835_S.jpg;;1;29.982222;0.13325432;6507.946777;12289.017578
AC0837_L;AC0837_L.jpg;;1;23.664889;0.02103546;6108.621094;13472.524414
AC0837_M;AC0837_M.jpg;;1;24.817143;0.03545306;6366.197266;13228.366211
AC0837_S;AC0837_S.jpg;;1;23.042667;0.06144711;5001.576172;10819.143555
AC0839_L;AC0839_L.jpg;;1;15.052444;0.01337995;3514.954590;10554.486328
AC0839_M;AC0839_M.jpg;;1;18.180000;0.02597143;4419.985840;11720.426758
AC0839_S;AC0839_S.jpg;;1;18.546667;0.04945778;4074.775879;11294.600586
AC0842_L;AC0842_L.jpg;;1;23.789333;0.02114607;6570.669434;14544.086914
AC0842_M;AC0842_M.jpg;;1;26.984286;0.03854898;7806.501465;15998.500977
AC0842_S;AC0842_S.jpg;;1;26.906667;0.07175111;6341.744141;13256.140625
AC0870_L;AC0870_L.jpg;;1;27.363333;0.03040370;6586.523438;12971.271484
AC0870_M;AC0870_M.jpg;;1;28.342500;0.07085625;5953.522461;10372.234375
AC0870_S;AC0870_S.jpg;;1;32.857778;0.14603457;6242.066895;8996.422852
AC0882_L;AC0882_L.jpg;;1;11.994667;0.01066193;2475.333252;7943.568848
AC0882_M;AC0882_M.jpg;;1;23.504286;0.03357755;6671.455566;15024.842773
AC0882_S;AC0882_S.jpg;;1;23.842667;0.06358044;5136.040039;10170.908203
