image;mean_delta2;std_delta2
AC0090_L.jpg;12495.940430;25843.201172
AC0070_L.jpg;12492.641602;25871.994141
AC0022.jpg;12086.627930;24395.402344
AC0070_S.jpg;10701.716797;23323.591797
AC0090_S.jpg;10683.740234;23238.861328
AC0835_L.jpg;9343.785156;15093.219727
AC0070_M.jpg;8668.699219;21139.792969
AC0090_M.jpg;8643.592773;21113.701172
AC0026.jpg;8509.869141;20439.101562
AC0080_L.jpg;8282.975586;21342.035156
AC0060_L.jpg;8121.766602;21277.365234
AC0021.jpg;8012.089355;20327.675781
AC0842_M.jpg;7806.501465;15998.500977
AC0820_L.jpg;7456.786621;13595.027344
AC0060_S.jpg;6830.813477;19110.158203
AC0080_S.jpg;6825.185547;17661.732422
AC0870_L.jpg;6586.523438;12971.271484
AC0842_L.jpg;6570.669434;14544.086914
AC0835_S.jpg;6507.946777;12289.017578
AC0837_M.jpg;6366.197266;13228.366211
AC0842_S.jpg;6341.744141;13256.140625
AC0023.jpg;6250.915039;17518.363281
AC0870_S.jpg;6242.066895;8996.422852
AC0837_L.jpg;6108.621094;13472.524414
AC0870_M.jpg;5953.522461;10372.234375
AC0835_M.jpg;5712.165039;14653.387695
AC0820_M.jpg;5354.737305;12096.881836
AC0882_S.jpg;5136.040039;10170.908203
AC0080_M.jpg;5051.044922;16122.140625
AC0882_M.jpg;5050.285645;14081.818359
AC0837_S.jpg;5001.576172;10819.143555
AC0060_M.jpg;4836.509277;15885.477539
AC0832_L.jpg;4466.965332;12654.934570
AC0839_M.jpg;4419.985840;11720.426758
AC0834_M.jpg;4260.149902;11651.985352
AC0020_S.jpg;4254.672852;14339.326172
AC0820_S.jpg;4106.946777;7095.816406
AC0839_S.jpg;4074.775879;11294.600586
AC0020_M.jpg;3775.528809;12635.041016
AC0832_M.jpg;3749.464355;11899.585938
AC0834_L.jpg;3638.973389;10358.848633
AC0832_S.jpg;3520.040039;7255.926758
AC0839_L.jpg;3514.954590;10554.486328
AC0020_L.jpg;3306.549316;13005.636719
AC0040_S.jpg;2983.658447;8402.059570
AC0834_S.jpg;2949.199951;9165.305664
AC0050_S.jpg;2895.880859;7966.121094
AC0040_M.jpg;2865.527344;7852.944824
AC0050_M.jpg;2864.178223;7865.455566
AC0812_S.jpg;2840.728027;7168.173828
AC0882_L.jpg;2475.333252;7943.568848
AC0814_M.jpg;2301.120117;7761.802734
AC0040_L.jpg;2189.509277;7134.469238
AC0050_L.jpg;2118.296631;6944.215820
AC0812_M.jpg;1687.868530;6916.199707
AC0800_L.jpg;1505.483276;4691.452637
AC0814_L.jpg;1105.309326;3745.901123
AC0800_S.jpg;899.773315;1675.581177
AC0812_L.jpg;896.602661;3028.920166
AC0814_S.jpg;748.719971;2077.811279
AC0800_M.jpg;53.910000;149.655472
