image;mean_delta2;std_delta2
AC0302_1L_sia.jpg;36602.835938;37470.203125
AC0531_1_S.jpg;30452.529297;16127.744141
AC0502_1_M.jpg;30301.542969;17467.554688
AC0551_1_M.jpg;29098.138672;16686.826172
AC5041_M.jpg;27891.062500;22614.246094
AC0403_1M_sia.jpg;24569.542969;32019.472656
AC0403_1L_sia.jpg;24258.070312;24102.996094
AC0304_2_M.jpg;22434.597656;29427.908203
AC0403_1_M.jpg;21687.341797;22866.476562
AC0150_2.jpg;20470.750000;14362.185547
AC0253_1.jpg;20431.550781;22372.292969
AC0304_1L_sia.jpg;20070.208984;28308.330078
AC0551_2_M.jpg;18425.703125;13079.349609
AC0733_1_L.jpg;17993.140625;21371.972656
AC0733_1_M.jpg;17248.937500;26200.468750
AC0722_1_L.jpg;14995.260742;25546.644531
AC0723_1_S.jpg;14441.021484;23629.843750
AC0402_1S_sia.jpg;13696.000000;15176.232422
AC0732_1_M.jpg;13642.634766;24614.763672
AC0070_L.jpg;12807.448242;26279.056641
AC0732_1_L.jpg;12783.177734;23059.958984
AC5010_L.jpg;12091.359375;14029.772461
AC5010_M.jpg;11849.812500;13879.510742
AC0254_2.jpg;11819.625000;12674.321289
AC0732_1_S.jpg;11705.263672;20789.039062
AC0404_1L_sia.jpg;11664.179688;12744.994141
AC0701_1_S.jpg;11579.485352;21969.810547
AC0722_1_S.jpg;11082.645508;20799.949219
AC0153_L.jpg;11012.540039;21328.179688
AC0845_S.jpg;9612.787109;17992.289062
AC0232_M.jpg;8796.923828;11323.608398
AC0922_M.jpg;8580.753906;17491.503906
AC0731_L.jpg;8412.853516;16548.714844
AC0537_1M_sia.jpg;8305.958008;20309.802734
AC0532_L.jpg;8122.847656;13373.709961
AC0534_1L_sia.jpg;8112.582031;21030.947266
AC0849_S.jpg;8100.560059;15924.385742
AC0542_L.jpg;8074.578613;14919.710938
AC0504_1L_sia.jpg;8054.371094;20876.611328
AC0412_2_S.jpg;7959.682617;12684.812500
AC0503_1M_sia.jpg;7951.491211;19872.408203
AC0713_1_M.jpg;7805.452637;16641.066406
AC0731_M.jpg;7695.128418;15230.856445
AC0501_2M_sia.jpg;7608.629395;15647.866211
AC0403_M.jpg;7353.256836;10331.012695
AC0701_1_M.jpg;7255.692871;17807.761719
AC0734_S.jpg;7239.832031;15380.439453
AC0541_L.jpg;7192.482910;15048.883789
AC0224_L.jpg;7086.017090;12196.781250
AC0402_L_sia.jpg;7074.357910;12477.936523
AC0010.jpg;6950.067383;9785.170898
AC0224_L_sia.jpg;6848.693848;11872.994141
AC0532_1L_sia.jpg;6659.776367;15273.918945
AC0243_L.jpg;6585.756836;12864.961914
AC5020_L.jpg;6470.250488;6488.810547
AC0153_M.jpg;6274.774414;14659.575195
AC0533_2S_sia.jpg;6165.932617;14774.859375
AC0232_S.jpg;6133.046875;8440.843750
AC0401_M_sia.jpg;6058.883301;7739.451172
AC0401_L_sia.jpg;5944.395020;11733.264648
AC0404_L_sia.jpg;5943.108887;11725.583984
AC0839_M.jpg;5899.855957;13313.157227
AC0932_M.jpg;5857.744141;14206.855469
AC0842_S.jpg;5842.976074;13494.734375
AC0512_S.jpg;5832.645020;7906.436035
AC0849_M.jpg;5821.174316;15455.967773
AC0532_S.jpg;5804.685059;9943.723633
AC0820_S.jpg;5785.013184;9320.757812
AC0224_M_sia.jpg;5640.659180;8869.441406
AC0224_S.jpg;5456.711426;6493.119629
AC0502_2S_sia.jpg;5422.997559;10842.940430
AC0222_L_sia.jpg;5360.688965;9473.792969
AC0562_sia_L.jpg;5351.149902;10584.365234
AC0532_1S_sia.jpg;5168.786133;11197.100586
AC0150_M.jpg;5122.828613;5791.172852
AC0224_S_sia.jpg;5085.966797;8555.747070
AC0303_1M_sia.jpg;5008.053711;13189.916016
AC0537_2L_sia.jpg;4543.231445;11514.488281
AC0501_L.jpg;4441.310547;9998.320312
AC0536_2S_sia.jpg;4265.171387;8180.208984
AC0414_2_L.jpg;4228.582031;10940.470703
AC0151_L.jpg;4130.447754;6280.399902
AC0839_L.jpg;4039.994629;11982.949219
AC0834_S.jpg;3926.959961;11091.150391
AC0302_S_sia.jpg;3923.625000;6741.373047
AC0241_S.jpg;3919.956055;7257.922363
AC0711_S.jpg;3918.872070;9040.624023
AC0303_2_S.jpg;3901.091797;11244.288086
AC0303_S_sia.jpg;3891.740723;6705.210938
AC0702_S.jpg;3888.879883;9313.476562
AC0562_sia_M.jpg;3868.344971;7388.599121
AC0020_S.jpg;3846.234619;13048.192383
AC0304_2_S.jpg;3753.633789;10954.075195
AC0504_2S_sia.jpg;3730.686279;7765.610840
AC0301_2_S.jpg;3727.408203;10881.763672
AC0241_M.jpg;3713.618408;6733.848145
AC0522_S.jpg;3672.459961;10234.870117
AC0553_2_M.jpg;3617.341553;8803.941406
AC0501_S.jpg;3586.208740;8659.871094
AC0901_S.jpg;3576.182617;11757.400391
AC0704_S.jpg;3298.615967;8858.453125
AC0503_M_sia.jpg;3264.320068;9646.621094
AC0912_M.jpg;3259.645752;9943.130859
AC0536_2L_sia.jpg;3213.666992;8660.253906
AC0702_L.jpg;3189.968018;8631.661133
AC0503_L_sia.jpg;3153.564453;10163.037109
AC0202_1.jpg;3128.384766;9690.372070
AC0412_2.jpg;3125.340088;9616.367188
AC0704_L.jpg;3042.357422;8576.236328
AC0536_L_sia.jpg;2892.611328;9590.928711
AC0140_M.jpg;2703.004639;4932.560547
AC0422_L.jpg;2666.038086;5495.485840
AC0538_L_sia.jpg;2640.528809;9478.404297
AC0537_L_sia.jpg;2637.073242;9349.442383
AC0203_1.jpg;2518.096436;8711.654297
AC0535_M_sia.jpg;2487.108398;7821.187012
AC0572_S.jpg;2461.581299;2299.799561
AC0536_M_sia.jpg;2294.813232;7544.567383
AC0204.jpg;2200.721924;5227.624512
AC0130.jpg;1921.981201;6269.706055
AC0814_L.jpg;1422.631958;4842.740723
AC0414_S.jpg;712.679993;1466.055786
AC0812_M.jpg;490.757141;2305.851807
AC0130_M.jpg;300.156097;1262.805420
