image_id,status
AC0800_L,satisfactory
AC0800_M,satisfactory
AC0800_S,satisfactory
AC0811_L,satisfactory
AC0811_M,satisfactory
AC0811_S,satisfactory
AC0812_L,satisfactory
AC0812_M,satisfactory
AC0812_S,satisfactory
AC0813_L,satisfactory
AC0813_M,satisfactory
AC0813_S,satisfactory
AC0814_L,satisfactory
AC0814_M,satisfactory
AC0814_S,satisfactory
AC0820_L,satisfactory
AC0820_M,satisfactory
AC0831_L,satisfactory
AC0831_M,satisfactory
AC0831_S,satisfactory
AC0832_L,satisfactory
AC0832_M,satisfactory
AC0832_S,satisfactory
AC0834_L,satisfactory
AC0834_M,satisfactory
AC0834_S,satisfactory
AC0835_L,satisfactory
AC0835_M,satisfactory
AC0835_S,satisfactory
AC0836_L,satisfactory
AC0836_M,satisfactory
AC0836_S,satisfactory
AC0837_L,satisfactory
AC0837_M,satisfactory
AC0837_S,satisfactory
AC0838_M,satisfactory
AC0839_L,satisfactory
AC0839_M,satisfactory
AC0839_S,satisfactory
AC0870_L,satisfactory
AC0870_M,satisfactory
AC0870_S,satisfactory
AC0881_L,satisfactory
AC0881_M,satisfactory
AC0881_S,satisfactory
AC0882_L,satisfactory
AC0882_M,satisfactory
AC0882_S,satisfactory
