AC0812_L: 4113.583984->819.733337
AC0812_M: 4520.069824->1687.868530
AC0812_S: 4454.943848->697.168030
AC0820_L: 7822.823242->7458.403320
AC0832_L: 5469.976074->5384.218750
AC0832_M: 5721.428711->5257.187012
AC0834_M: 5414.048340->4659.295898
AC0837_M: 6180.608398->5521.928711
AC0837_S: 5215.503906->3344.303955
AC0839_L: 5304.770508->4069.530762
AC0839_M: 5980.885742->5271.827148
AC0839_S: 5783.383789->3389.488037
AC0870_M: 8397.247070->5953.522461
AC0882_L: 4874.231934->2166.453369
AC0882_M: 6184.157227->5050.285645
AC0882_S: 7637.967773->4982.791992
