base;category;variants;prototype_group;geometry_signature_delta;text_orientation_policy
AC0800;Kreise ohne Buchstaben;AC0800_L|AC0800_M|AC0800_S;circle+no_text+no_stem+no_arm+text_mode:none;0.0000;inherit_variant
AC0812;Kellen ohne Buchstaben;AC0812_L|AC0812_M|AC0812_S;ac08_rot_mirror_alias;0.0000;rotate_with_geometry
AC0814;Kellen ohne Buchstaben;AC0814_L|AC0814_M|AC0814_S;ac08_rot_mirror_alias;0.0000;rotate_with_geometry
AC0820;Kreise mit Buchstaben;AC0820_L|AC0820_S;circle+text+no_stem+no_arm+text_mode:co2;0.0000;rotate_geometry_only
AC0832;Kellen mit Buchstaben;AC0832_L|AC0832_M|AC0832_S;ac08_rot_mirror_alias;0.0000;rotate_with_geometry
AC0834;Kellen mit Buchstaben;AC0834_L|AC0834_M|AC0834_S;ac08_rot_mirror_alias;0.0000;rotate_with_geometry
AC0835;Kreise mit Buchstaben;AC0835_L|AC0835_M|AC0835_S;circle+text+no_stem+no_arm+text_mode:voc;0.0000;inherit_variant
AC0837;Kellen mit Buchstaben;AC0837_L|AC0837_M|AC0837_S;ac08_rot_mirror_alias;0.0000;rotate_with_geometry
AC0839;Kellen mit Buchstaben;AC0839_L|AC0839_M|AC0839_S;ac08_rot_mirror_alias;0.0000;rotate_with_geometry
AC0840;Kellen ohne Buchstaben;AC0840_L|AC0840_M|AC0840_S;ac08_rot_mirror_alias;0.0000;rotate_with_geometry
AC0841;Kellen ohne Buchstaben;AC0841_L|AC0841_M|AC0841_S;ac08_rot_mirror_alias;0.0000;rotate_with_geometry
AC0842;Kellen ohne Buchstaben;AC0842_L|AC0842_M|AC0842_S;ac08_rot_mirror_alias;0.0000;rotate_with_geometry
AC0843;Kellen ohne Buchstaben;AC0843_L|AC0843_M|AC0843_S;ac08_rot_mirror_alias;0.0000;rotate_with_geometry
AC0844;Kellen ohne Buchstaben;AC0844_L|AC0844_M|AC0844_S;ac08_rot_mirror_alias;0.0000;rotate_with_geometry
AC0850;Kreise ohne Buchstaben;AC0850_L|AC0850_M|AC0850_S;circle+no_text+no_stem+no_arm+text_mode:none;0.0000;inherit_variant
AC0861;Kellen ohne Buchstaben;AC0861_L|AC0861_M|AC0861_S;ac08_rot_mirror_alias;0.0000;rotate_with_geometry
AC0862;Kellen ohne Buchstaben;AC0862_L|AC0862_M|AC0862_S;ac08_rot_mirror_alias;0.0000;rotate_with_geometry
AC0863;Kellen mit Buchstaben;AC0863_L|AC0863_M|AC0863_S;ac08_rot_mirror_alias;0.0000;rotate_with_geometry
AC0864;Kellen mit Buchstaben;AC0864_L|AC0864_M|AC0864_S;ac08_rot_mirror_alias;0.0000;rotate_with_geometry
AC0870;Kreise ohne Buchstaben;AC0870_L|AC0870_M|AC0870_S;circle+no_text+no_stem+no_arm+text_mode:none;0.0000;inherit_variant
AC0882;Kellen ohne Buchstaben;AC0882_L|AC0882_M|AC0882_S;ac08_rot_mirror_alias;0.0000;rotate_with_geometry
AC0883;Kellen ohne Buchstaben;AC0883_L|AC0883_M|AC0883_S;ac08_rot_mirror_alias;0.0000;rotate_with_geometry
AC0884;Kellen ohne Buchstaben;AC0884_L|AC0884_M|AC0884_S;ac08_rot_mirror_alias;0.0000;rotate_with_geometry
AC0890;Kellen ohne Buchstaben;AC0890_L|AC0890_M|AC0890_S;ac08_rot_mirror_alias;0.0000;rotate_with_geometry
