filename;donor_variant;rotation_deg;scale;old_error_per_pixel;new_error_per_pixel
AC0832_M.jpg;AC0882_L;90;1.0000;0.03683673;0.03681633
AC0835_M.jpg;AC0881_L;0;0.9440;0.09222500;0.09190000
AC0882_M.jpg;AC0832_L;90;0.9440;0.03527143;0.03517959
AC0833_S.jpg;AC0833_L;0;0.6500;0.07521422;0.07496533
AC0882_S.jpg;AC0837_L;0;0.7500;0.07339378;0.07304533
AC0834_M.jpg;AC0832_L;270;1.0800;0.03333061;0.03323673
AC0838_S.jpg;AC0833_L;90;0.7500;0.08120889;0.07874133
AC0837_S.jpg;AC0881_L;0;0.7500;0.07086222;0.07022222
AC0834_S.jpg;AC0882_L;180;0.5500;0.04947200;0.04705422
AC0833_M.jpg;AC0833_L;0;0.6500;0.03900000;0.03882449
AC0837_M.jpg;AC0881_L;0;0.9000;0.03910204;0.03900408
AC0839_S.jpg;AC0833_L;0;0.8100;0.05205333;0.04944356
