class_id,example_image_id,status,in samples,count_in_class
AC0010,AC0010,not_satisfactory,yes,1
AC0011,AC0011,not_satisfactory,yes,1
AC0020,AC0020_L,not_satisfactory,yes,3
AC0021,AC0021,not_satisfactory,yes,1
AC0022,AC0022,not_satisfactory,yes,1
AC0023,AC0023,not_satisfactory,,1
AC0024,AC0024,not_satisfactory,,1
AC0025,AC0025,not_satisfactory,,1
AC0026,AC0026,not_satisfactory,,1
AC0030,AC0030,not_satisfactory,,4
AC0040,AC0040_L,not_satisfactory,,3
AC0050,AC0050_L,not_satisfactory,,3
AC0060,AC0060_L,not_satisfactory,,3
AC0070,AC0070_L,not_satisfactory,,3
AC0080,AC0080_L,not_satisfactory,,3
AC0090,AC0090_L,not_satisfactory,,3
AC0100,AC0100_L,not_satisfactory,,3
AC0110,AC0110,not_satisfactory,,4
AC0120,AC0120_L,not_satisfactory,,3
AC0130,AC0130,not_satisfactory,,4
AC0140,AC0140_L,not_satisfactory,,3
AC0150,AC0150,not_satisfactory,,6
AC0151,AC0151_L,not_satisfactory,,3
AC0152,AC0152_L,not_satisfactory,,3
AC0153,AC0153,not_satisfactory,,4
AC0160,AC0160_L,not_satisfactory,,3
AC0201,AC0201,not_satisfactory,,9
AC0202,AC0202,not_satisfactory,,9
AC0203,AC0203,not_satisfactory,,9
AC0204,AC0204,not_satisfactory,,9
AC0211,AC0211,not_satisfactory,,4
AC0212,AC0212_L,not_satisfactory,,3
AC0213,AC0213_L,not_satisfactory,,3
AC0214,AC0214_L,not_satisfactory,,3
AC0221,AC0221_L,not_satisfactory,,6
AC0222,AC0222,not_satisfactory,,7
AC0223,AC0223_L,not_satisfactory,,6
AC0224,AC0224_L,not_satisfactory,,6
AC0231,AC0231_L,not_satisfactory,,3
AC0232,AC0232_L,not_satisfactory,,3
AC0233,AC0233_L,not_satisfactory,,3
AC0234,AC0234_L,not_satisfactory,,3
AC0241,AC0241_L,not_satisfactory,,3
AC0242,AC0242_L,not_satisfactory,,3
AC0243,AC0243_L,not_satisfactory,,3
AC0244,AC0244_L,not_satisfactory,,3
AC0251,AC0251,not_satisfactory,,3
AC0252,AC0252,not_satisfactory,,3
AC0253,AC0253,not_satisfactory,,3
AC0254,AC0254,not_satisfactory,,3
AC0261,AC0261,not_satisfactory,,1
AC0271,AC0271,not_satisfactory,,1
AC0301,AC0301_1L_sia,not_satisfactory,,18
AC0302,AC0302_1L_sia,not_satisfactory,,18
AC0303,AC0303_1L_sia,not_satisfactory,,18
AC0304,AC0304_1L_sia,not_satisfactory,,18
AC0401,AC0401_1L_sia,not_satisfactory,,18
AC0402,AC0402,not_satisfactory,,21
AC0403,AC0403_1L_sia,not_satisfactory,,18
AC0404,AC0404_1L_sia,not_satisfactory,,18
AC0411,AC0411_1_L,not_satisfactory,,9
AC0412,AC0412,not_satisfactory,,12
AC0413,AC0413_1_L,not_satisfactory,,9
AC0414,AC0414_1_L,not_satisfactory,,9
AC0421,AC0421_1_L,not_satisfactory,,9
AC0422,AC0422_1_L,not_satisfactory,,9
AC0423,AC0423_1_L,not_satisfactory,,9
AC0424,AC0424_1_L,not_satisfactory,,9
AC0501,AC0501_1L_sia,not_satisfactory,,18
AC0502,AC0502_1L_sia,not_satisfactory,,18
AC0503,AC0503_1L_sia,not_satisfactory,,9
AC0504,AC0504_1L_sia,not_satisfactory,,9
AC0511,AC0511_1_L,not_satisfactory,,6
AC0512,AC0512_1_L,not_satisfactory,,6
AC0521,AC0521_L,not_satisfactory,,3
AC0522,AC0522_L,not_satisfactory,,3
AC0531,AC0531_1L_sia,not_satisfactory,,18
AC0532,AC0532_1L_sia,not_satisfactory,,18
AC0533,AC0533_1L_sia,not_satisfactory,,9
AC0534,AC0534_1L_sia,not_satisfactory,,9
AC0535,AC0535_1L_sia,not_satisfactory,,9
AC0536,AC0536_1L_sia,not_satisfactory,,9
AC0537,AC0537_1L_sia,not_satisfactory,,9
AC0538,AC0538_1L_sia,not_satisfactory,,9
AC0541,AC0541_1_L,not_satisfactory,,9
AC0542,AC0542_1_L,not_satisfactory,,9
AC0551,AC0551_1_L,not_satisfactory,,9
AC0552,AC0552_1_L,not_satisfactory,,9
AC0553,AC0553_1_L,not_satisfactory,,9
AC0554,AC0554_1_L,not_satisfactory,,9
AC0561,AC0561_sia_L,not_satisfactory,,3
AC0562,AC0562_sia_L,not_satisfactory,,3
AC0572,AC0572_L,not_satisfactory,,3
AC0573,AC0573_L,not_satisfactory,,3
AC0701,AC0701_1_L,not_satisfactory,,6
AC0702,AC0702_1_L,not_satisfactory,,6
AC0703,AC0703_1_L,not_satisfactory,,6
AC0704,AC0704_1_L,not_satisfactory,,6
AC0711,AC0711_1_L,not_satisfactory,,6
AC0712,AC0712_1_L,not_satisfactory,,6
AC0713,AC0713_1_L,not_satisfactory,,6
AC0714,AC0714_1_L,not_satisfactory,,6
AC0721,AC0721_1_L,not_satisfactory,,6
AC0722,AC0722_1_L,not_satisfactory,,6
AC0723,AC0723_1_L,not_satisfactory,,6
AC0724,AC0724_1_L,not_satisfactory,,6
AC0731,AC0731_1_L,not_satisfactory,,6
AC0732,AC0732_1_L,not_satisfactory,,6
AC0733,AC0733_1_L,not_satisfactory,,6
AC0734,AC0734_1_L,not_satisfactory,,6
AC0820,AC0820_S,not_satisfactory,,1
AC0833,AC0833_L,not_satisfactory,,3
AC0838,AC0838_L,not_satisfactory,,2
AC0840,AC0840_L,not_satisfactory,,3
AC0841,AC0841_L,not_satisfactory,,3
AC0842,AC0842_L,not_satisfactory,,3
AC0843,AC0843_L,not_satisfactory,,3
AC0844,AC0844_L,not_satisfactory,,3
AC0845,AC0845_L,not_satisfactory,,3
AC0846,AC0846_L,not_satisfactory,,3
AC0847,AC0847_L,not_satisfactory,,3
AC0848,AC0848_L,not_satisfactory,,3
AC0849,AC0849_L,not_satisfactory,,3
AC0850,AC0850_L,not_satisfactory,,3
AC0861,AC0861_L,not_satisfactory,,3
AC0862,AC0862_L,not_satisfactory,,3
AC0863,AC0863_L,not_satisfactory,,3
AC0864,AC0864_L,not_satisfactory,,3
AC0883,AC0883_L,not_satisfactory,,3
AC0884,AC0884_L,not_satisfactory,,3
AC0890,AC0890_L,not_satisfactory,,3
AC0900,AC0900_L,not_satisfactory,,3
AC0901,AC0901_L,not_satisfactory,,3
AC0910,AC0910_L,not_satisfactory,,3
AC0911,AC0911_L,not_satisfactory,,3
AC0912,AC0912_L,not_satisfactory,,3
AC0913,AC0913_L,not_satisfactory,,3
AC0914,AC0914_L,not_satisfactory,,3
AC0920,AC0920_L,not_satisfactory,,3
AC0921,AC0921_L,not_satisfactory,,3
AC0922,AC0922_L,not_satisfactory,,3
AC0923,AC0923_L,not_satisfactory,,3
AC0924,AC0924_L,not_satisfactory,,3
AC0930,AC0930_L,not_satisfactory,,3
AC0931,AC0931_L,not_satisfactory,,3
AC0932,AC0932_L,not_satisfactory,,3
AC0933,AC0933_L,not_satisfactory,,3
AC0934,AC0934_L,not_satisfactory,,3
AC0VR2,AC0VR2_AB_M,not_satisfactory,,3
AC1000,AC1000_L,not_satisfactory,,3
AC1001,AC1001_L,not_satisfactory,,3
AC1002,AC1002_L,not_satisfactory,,3
AC1003,AC1003_L,not_satisfactory,,3
AC1004,AC1004_L,not_satisfactory,,3
AC100,AC100_1_M,not_satisfactory,,1
AC110,AC110_1_M,not_satisfactory,,1
AC5000,AC5000_L,not_satisfactory,,5
AC5010,AC5010_L,not_satisfactory,,4
AC5020,AC5020_L,not_satisfactory,,3
AC5030,AC5030_L,not_satisfactory,,3
AC5040,AC5040_L,not_satisfactory,,3
AC5041,AC5041_M,not_satisfactory,,1
AC5050,AC5050_L,not_satisfactory,,3
ALD1,ALD1,not_satisfactory,,1
ALE3,ALE3,not_satisfactory,,1
AR0021,AR0021,not_satisfactory,,1
AR0022,AR0022,not_satisfactory,,1
AR0023,AR0023,not_satisfactory,,1
AR0024,AR0024,not_satisfactory,,1
AR0030,AR0030,not_satisfactory,,3
AR0041,AR0041,not_satisfactory,,1
AR0042,AR0042,not_satisfactory,,1
AR0043,AR0043,not_satisfactory,,1
AR0044,AR0044,not_satisfactory,,1
AR0061,AR0061,not_satisfactory,,1
AR0062,AR0062,not_satisfactory,,1
AR0063,AR0063,not_satisfactory,,1
AR0064,AR0064,not_satisfactory,,1
AR0081,AR0081,not_satisfactory,,1
AR0082,AR0082,not_satisfactory,,1
AR0083,AR0083,not_satisfactory,,1
AR0084,AR0084,not_satisfactory,,1
AR0100,AR0100,not_satisfactory,,1
AR0101,AR0101,not_satisfactory,,1
AR0102,AR0102,not_satisfactory,,1
AR0103,AR0103,not_satisfactory,,1
AR0104,AR0104,not_satisfactory,,1
AR0110,AR0110,not_satisfactory,,3
AR0140,AR0140,not_satisfactory,,3
AWD3,AWD3,not_satisfactory,,1
BW,BW,not_satisfactory,,1
BackBottom,BackBottom,not_satisfactory,,1
DLG0000,DLG0000,not_satisfactory,,1
DLG0002,DLG0002,not_satisfactory,,1
DLG0003,DLG0003,not_satisfactory,,1
DLG0020,DLG0020,not_satisfactory,,1
DLG0021,DLG0021,not_satisfactory,,1
DLG0030,DLG0030,not_satisfactory,,1
DLG0031,DLG0031,not_satisfactory,,1
DLG0040,DLG0040,not_satisfactory,,1
DLG0041,DLG0041,not_satisfactory,,1
DLG0042,DLG0042,not_satisfactory,,1
DLG0050,DLG0050,not_satisfactory,,1
DLG0051,DLG0051,not_satisfactory,,1
DLG0060,DLG0060,not_satisfactory,,1
DLG0061,DLG0061,not_satisfactory,,1
GE0001,GE0001_1_L,not_satisfactory,,6
GE0002,GE0002_L,not_satisfactory,,3
GE0003,GE0003_L,not_satisfactory,,3
GE0004,GE0004_L,not_satisfactory,,3
GE0010,GE0010,not_satisfactory,,1
GE0011,GE0011,not_satisfactory,,4
GE0012,GE0012,not_satisfactory,,4
GE0013,GE0013,not_satisfactory,,4
GE0014,GE0014,not_satisfactory,,4
GE0015,GE0015,not_satisfactory,,4
GE0016,GE0016,not_satisfactory,,2
GE0017,GE0017,not_satisfactory,,1
GE0018,GE0018,not_satisfactory,,1
GE0019,GE0019,not_satisfactory,,1
GE0020,GE0020,not_satisfactory,,1
GE0021,GE0021,not_satisfactory,,4
GE0022,GE0022,not_satisfactory,,10
GE0023,GE0023,not_satisfactory,,7
GE0024,GE0024,not_satisfactory,,1
GE0025,GE0025,not_satisfactory,,1
GE0026,GE0026,not_satisfactory,,1
GE0027,GE0027,not_satisfactory,,1
GE0028,GE0028,not_satisfactory,,1
GE0029,GE0029,not_satisfactory,,1
GE0030,GE0030,not_satisfactory,,1
GE0031,GE0031,not_satisfactory,,4
GE0032,GE0032,not_satisfactory,,4
GE0033,GE0033,not_satisfactory,,4
GE0034,GE0034,not_satisfactory,,4
GE0035,GE0035,not_satisfactory,,4
GE0036,GE0036,not_satisfactory,,4
GE0037,GE0037,not_satisfactory,,4
GE0038,GE0038_L,not_satisfactory,,3
GE0039,GE0039_L,not_satisfactory,,3
GE0040,GE0040_L,not_satisfactory,,3
GE0041,GE0041_L,not_satisfactory,,4
GE0042,GE0042_L,not_satisfactory,,3
GE0043,GE0043_L,not_satisfactory,,3
GE0044,GE0044_L,not_satisfactory,,3
GE0045,GE0045_L,not_satisfactory,,3
GE0100,GE0100_L,not_satisfactory,,3
GE0101,GE0101_L,not_satisfactory,,3
GE0102,GE0102_L,not_satisfactory,,3
GE0103,GE0103_L,not_satisfactory,,3
GE0104,GE0104_L,not_satisfactory,,3
GE0105,GE0105_L,not_satisfactory,,3
GE0106,GE0106_L,not_satisfactory,,3
GE0107,GE0107_L,not_satisfactory,,3
GE0108,GE0108_L,not_satisfactory,,3
GE0109,GE0109_L,not_satisfactory,,3
GE0110,GE0110_L,not_satisfactory,,3
GE0111,GE0111_L,not_satisfactory,,3
GE0201,GE0201_L,not_satisfactory,,3
GE0202,GE0202_L,not_satisfactory,,3
GE0203,GE0203_L,not_satisfactory,,3
GE0204,GE0204_L,not_satisfactory,,3
GE0205,GE0205_L,not_satisfactory,,3
GE0206,GE0206_L,not_satisfactory,,3
GE0280,GE0280,not_satisfactory,,1
GE0281,GE0281,not_satisfactory,,1
GE0282,GE0282,not_satisfactory,,1
GE0283,GE0283,not_satisfactory,,1
GE0284,GE0284,not_satisfactory,,1
GE0285,GE0285,not_satisfactory,,1
GE0300,GE0300,not_satisfactory,,1
