root;node;node_path;depth;parent;parent_path;node_line;edge_call_line;edge_raw_callee
src.__init__:__getattr__;src.__init__:__getattr__;src/__init__.py;0;;;16;;
src.iccFs.loadOptionalModule:loadOptionalModule;src.iccFs.loadOptionalModule:loadOptionalModule;src/iccFs/loadOptionalModule.py;0;;;7;;
src.iccFs.loadOptionalModule:loadOptionalModule;src.iccFs.mF.imageCompositeConverterCore:vendoredSitePackagesDirs;src/iccFs/mF/imageCompositeConverterCore.py;1;src.iccFs.loadOptionalModule:loadOptionalModule;src/iccFs/loadOptionalModule.py;155;18;vendoredSitePackagesDirs
src.iccFs.loadOptionalModule:loadOptionalModule;src.iccFs.mF.imageCompositeConverterCore:clearPartialModuleImport;src/iccFs/mF/imageCompositeConverterCore.py;1;src.iccFs.loadOptionalModule:loadOptionalModule;src/iccFs/loadOptionalModule.py;199;16;clearPartialModuleImport
src.iccFs.loadOptionalModule:loadOptionalModule;src.iccFs.mF.imageCompositeConverterCore:clearPartialModuleImport;src/iccFs/mF/imageCompositeConverterCore.py;1;src.iccFs.loadOptionalModule:loadOptionalModule;src/iccFs/loadOptionalModule.py;199;16;clearPartialModuleImport
src.iccFs.loadOptionalModule:loadOptionalModule;src.iccFs.mF.imageCompositeConverterCore:describeOptionalDependencyError;src/iccFs/mF/imageCompositeConverterCore.py;1;src.iccFs.loadOptionalModule:loadOptionalModule;src/iccFs/loadOptionalModule.py;205;35;describeOptionalDependencyError
src.iccFs.mF._formatUserDiagnostic:formatUserDiagnostic;src.iccFs.mF._formatUserDiagnostic:formatUserDiagnostic;src/iccFs/mF/_formatUserDiagnostic.py;0;;;1;;
src.iccFs.mF._formatUserDiagnostic:formatUserDiagnostic;src.iccFs.mF.imageCompositeConverterCore:SourceSpan.format;src/iccFs/mF/imageCompositeConverterCore.py;1;src.iccFs.mF._formatUserDiagnostic:formatUserDiagnostic;src/iccFs/mF/_formatUserDiagnostic.py;876;5;format
src.iccFs.mF._promptInteractiveRangeFiles._sharedPartialRangeTokenFiles._normalizeRangeToken:normalizeRangeToken;src.iccFs.mF._promptInteractiveRangeFiles._sharedPartialRangeTokenFiles._normalizeRangeToken:normalizeRangeToken;src/iccFs/mF/_promptInteractiveRangeFiles/_sharedPartialRangeTokenFiles/_normalizeRangeToken.py;0;;;1;;
src.iccFs.mF._promptInteractiveRangeFiles._sharedPartialRangeTokenFiles._normalizeRangeToken:normalizeRangeToken;src.iccFs.mF.convertRangeFiles._inRequestedRangeFiles.getBaseNameFromFile:getBaseNameFromFile;src/iccFs/mF/convertRangeFiles/_inRequestedRangeFiles/getBaseNameFromFile.py;1;src.iccFs.mF._promptInteractiveRangeFiles._sharedPartialRangeTokenFiles._normalizeRangeToken:normalizeRangeToken;src/iccFs/mF/_promptInteractiveRangeFiles/_sharedPartialRangeTokenFiles/_normalizeRangeToken.py;5;2;getBaseNameFromFile
