update_successful_conversions_manifest_with_metrics;updateSuccessfulConversionsManifestWithMetrics
Action._enforce_vertical_connector_badge_geometry;Action._enforceVerticalConnectorBadgeGeometry
Action._optimize_global_parameter_vector_sampling;Action._optimizeGlobalParameterVectorSampling
Reflection._parse_semantic_badge_layout_overrides;Reflection._parseSemanticBadgeLayoutOverrides
Action._optimize_circle_pose_stochastic_survivor;Action._optimizeCirclePoseStochasticSurvivor
_compute_successful_conversions_error_threshold;_computeSuccessfulConversionsErrorThreshold
Action._enforce_semantic_connector_expectation;Action._enforceSemanticConnectorExpectation
Action._select_circle_radius_plateau_candidate;Action._selectCircleRadiusPlateauCandidate
Action.validate_semantic_description_alignment;Action.validateSemanticDescriptionAlignment
_iter_available_successful_conversion_variants;_iterAvailableSuccessfulConversionVariants
Action._default_edge_anchored_circle_geometry;Action._defaultEdgeAnchoredCircleGeometry
Action._estimate_upper_circle_from_foreground;Action._estimateUpperCircleFromForeground
collect_successful_conversion_quality_metrics;collectSuccessfulConversionQualityMetrics
Action._optimize_circle_pose_adaptive_domain;Action._optimizeCirclePoseAdaptiveDomain
_expand_successful_conversion_manifest_entry;_expandSuccessfulConversionManifestEntry
_read_successful_conversion_manifest_metrics;_readSuccessfulConversionManifestMetrics
Action._enforce_semantic_component_contract;Action._enforceSemanticComponentContract
Action._enforce_template_circle_edge_extent;Action._enforceTemplateCircleEdgeExtent
Action._tune_ac08_vertical_connector_family;Action._tuneAc08VerticalConnectorFamily
_format_successful_conversion_manifest_line;_formatSuccessfulConversionManifestLine
Action._apply_circle_text_width_constraint;Action._applyCircleTextWidthConstraint
Action._full_badge_error_for_circle_radius;Action._fullBadgeErrorForCircleRadius
_adaptive_iteration_budget_for_quality_row;_adaptiveIterationBudgetForQualityRow
_is_successful_conversion_candidate_better;_isSuccessfulConversionCandidateBetter
_parse_successful_conversion_manifest_line;_parseSuccessfulConversionManifestLine
_sorted_successful_conversion_metrics_rows;_sortedSuccessfulConversionMetricsRows
_template_transfer_donor_family_compatible;_templateTransferDonorFamilyCompatible
write_successful_conversion_quality_report;writeSuccessfulConversionQualityReport
Action._configure_ac08_small_variant_mode;Action._configureAc08SmallVariantMode
Action._enforce_circle_connector_symmetry;Action._enforceCircleConnectorSymmetry
Reflection._extract_documented_alias_refs;Reflection._extractDocumentedAliasRefs
Action._element_bbox_change_is_plausible;Action._elementBboxChangeIsPlausible
Action._enforce_right_arm_badge_geometry;Action._enforceRightArmBadgeGeometry
Action._estimate_circle_tones_and_stroke;Action._estimateCircleTonesAndStroke
Action._estimate_vertical_stem_from_mask;Action._estimateVerticalStemFromMask
Action._tune_ac08_right_connector_family;Action._tuneAc08RightConnectorFamily
_latest_failed_conversion_manifest_entry;_latestFailedConversionManifestEntry
_successful_conversion_metrics_available;_successfulConversionMetricsAvailable
