variant;base;filename;status;error_per_pixel;mean_delta2;geometry_penalty;semantic_penalty;baseline_score;prototype_score
AC0800_L;AC0800;AC0800_L.jpg;semantic_ok;0.00769012;631.343323;0.433334;0.00;0.00769012;0.15935713
AC0800_M;AC0800;AC0800_M.jpg;semantic_ok;0.00601250;53.910000;0.037002;0.00;0.00601250;0.01896325
AC0800_S;AC0800;AC0800_S.jpg;semantic_ok;0.04594568;908.693359;0.623699;0.00;0.04594568;0.26424022
AC0811_L;AC0811;AC0811_L.jpg;semantic_ok;0.00410153;541.831970;0.371897;0.00;0.00410153;0.13426531
AC0811_M;AC0811;AC0811_M.jpg;semantic_ok;0.01306531;1455.942871;0.999314;0.00;0.01306531;0.36282508
AC0811_S;AC0811;AC0811_S.jpg;semantic_ok;0.02479644;1066.456055;0.731982;0.00;0.02479644;0.28099016
AC0834_S;AC0834;AC0834_S.jpg;semantic_ok;0.04832711;3926.959961;2.695342;0.00;0.04832711;0.99169697
AC0870_L;AC0870;AC0870_L.jpg;semantic_ok;0.03176790;6839.046875;4.694108;0.00;0.03176790;1.67470563
AC0870_S;AC0870;AC0870_S.jpg;semantic_ok;0.15126914;6616.799805;4.541564;0.00;0.15126914;1.74081666
AC0882_L;AC0882;AC0882_L.jpg;semantic_ok;0.01167012;2773.642578;1.903741;0.00;0.01167012;0.67797964
AC0882_M;AC0882;AC0882_M.jpg;semantic_ok;0.03499592;6716.562988;4.610039;0.00;0.03499592;1.64850946
