variant;filename;status;best_iter;best_error;error_per_pixel;mean_delta2;std_delta2
AC0800_L;AC0800_L.jpg;;1;6.921111;0.00769012;631.343323;1562.717163
AC0800_M;AC0800_M.jpg;;1;2.405000;0.00601250;53.910000;149.655472
AC0800_S;AC0800_S.jpg;;1;10.337778;0.04594568;908.693359;1689.380859
AC0811_L;AC0811_L.jpg;;1;4.614222;0.00410153;541.831970;2448.126221
AC0811_M;AC0811_M.jpg;;1;9.145714;0.01306531;1455.942871;4406.451172
AC0811_S;AC0811_S.jpg;;1;9.298667;0.02479644;1066.456055;2685.738281
AC0834_S;AC0834_S.jpg;;1;18.122667;0.04832711;3926.959961;11091.150391
AC0870_L;AC0870_L.jpg;;1;28.591111;0.03176790;6839.046875;13509.872070
AC0870_S;AC0870_S.jpg;;1;34.035556;0.15126914;6616.799805;9320.367188
AC0882_L;AC0882_L.jpg;;1;13.128889;0.01167012;2773.642578;8363.817383
AC0882_M;AC0882_M.jpg;;1;24.497143;0.03499592;6716.562988;14449.944336
